Najdi lemmata končící na -nost	preloaded/cstenten23_mj2	[lemma=".*nost"]	[lemma_lc=".*nost$"]
Najdi přesně středník	preloaded/cstenten23_mj2	[word==";"]	[word==";"]
Pětipísmenná malá slova	preloaded/cstenten23_mj2	[word="[[:lower:]]{5}"]	[lc="[a-záčďéěíňóřšťúůýž]{5}" & tag!="kI.*"]
Slova začínající na pře-	preloaded/cstenten23_mj2	[lc="pře.*"]	[lc="pře.*"]
Slova končící na -ový nebo -ová	preloaded/cstenten23_mj2	[word=".*ov[ýá]"]	[lc=".*ov[ýá]$"]
Lemmata začínající mikro- a končící -skop	preloaded/cstenten23_mj2	[lemma="mikro.*skop"]	[lemma_lc="mikro.*skop"]
Slovo začínající s velkým písmenem uvnitř věty, ne však na začátku	preloaded/cstenten23_mj2	[][word="[[:upper:]].+"] within <s/>	(meet [word="[A-ZÁČĎÉĚÍŇÓŘŠŤÚŮÝŽ].*"] [] -1000 -1) within <s/>
Tokeny s pomlčkou	preloaded/cstenten23_mj2	[word=".*-.*"]	[word=".*[-–—].*"]
Tokeny složené jen z číslic	preloaded/cstenten23_mj2	[word="\d+"]	[word="[0-9]+"]
Tokeny složené jen z interpunkce s více jak jedním znakem	preloaded/cstenten23_mj2	[word="[[:punct:]]{2,}"]	[tag="kI.*" & word=".{2,}"]
Vlastní jména	preloaded/cstenten23_mj2	[tag="k1.*" & word="[[:upper:]].*"]	[tag="k1.*" & word="[A-ZÁČĎÉĚÍŇÓŘŠŤÚŮÝŽ].*"]
Zájmena tázací/relativní	preloaded/cstenten23_mj2	[tag="k3.*" & word="kdo|co|který|jenž"]	[tag="k3.*y[QR].*"]
Příslovce zakončená na -ě	preloaded/cstenten23_mj2	[word=".*ě" & tag="k6.*"]	[tag="k6.*" & lc=".*ě$"]
Přídavná jména v 1. stupni	preloaded/cstenten23_mj2	[tag="k2.*d1.*"]	[tag="k2.*d1.*"]
Přídavná jména v 2. stupni	preloaded/cstenten23_mj2	[tag="k2.*d2.*"]	[tag="k2.{14}d2.*"]
Přídavná jména v 3. stupni	preloaded/cstenten23_mj2	[tag="k2.*d3.*"]	[tag="k2.*d3"]
Spojka "a"	preloaded/cstenten23_mj2	[word=="a" & tag="k8.*"]	[lempos="a-c"]
Slova ten, tento, tamhleten	preloaded/cstenten23_mj2	[word="ten|tento|tamhleten"]	[lemma_lc="ten" | lemma_lc="tento" | lemma_lc="tamhleten"]
Pluralia v -i	preloaded/cstenten23_mj2	[word=".*i" & tag="k1.*nP.*"]	[tag="k1.*nP.*" & lc=".*i"]
Podstatná jména v 6. pádě	preloaded/cstenten23_mj2	[tag="k1.*c6.*"]	[tag="k1.*c6.*"]
Podstatná jména v 7. pádě	preloaded/cstenten23_mj2	[tag="k1.*c7.*"]	[tag="k1...7.*"]
Tokeny s apostrofem	preloaded/cstenten23_mj2	[word=".*'.*"]	[lc=".*'.*"]
Měnové symboly Kč/€/$	preloaded/cstenten23_mj2	[word="Kč|€|\$"]	[lc="kč" | lc="€" | lc="$"]
Domény končící na .cz	preloaded/cstenten23_mj2	[word=".*\.cz"]	[ ] within <doc urldomain=".*\\.cz"/>
Hex barvy	preloaded/cstenten23_mj2	[word="#([0-9A-Fa-f]{3}|[0-9A-Fa-f]{6})"]	[word="#[0-9a-fA-F]{6}"][lc="barvy"]
Uživatelská jména začínající @	preloaded/cstenten23_mj2	[word="@\w+"]	[word="^@[a-zA-Z0-9_]+"]
Hashtagy	preloaded/cstenten23_mj2	[word="#\w+"]	[word="#[A-Za-z0-9]+"]
URL končící .pdf	preloaded/cstenten23_mj2	[word="https?://.+\.pdf"]	<doc url=".*\\.pdf$"/>
Symbol © nebo ® jako c nebo r v závorkách	preloaded/cstenten23_mj2	[word=="("][word="[cCrR]"][word==")"]	( [lc="\\\\([cr]\\\\)"] ) | ( [lc=="("] [lc="[cr]"] [lc==")"] )
Římské číslice I–X	preloaded/cstenten23_mj2	[word="I|II|III|IV|V|VI|VII|VIII|IX|X"]	[word="I{1,3}|IV|VI{0,3}|IX|X"]
Čísla s desetinnou tečkou	preloaded/cstenten23_mj2	[word="\d+\.\d+"]	[tag="k4.*" & word="[0-9]+\\.[0-9]+"]
Procenta s číslem	preloaded/cstenten23_mj2	[word="\d+(\.\d+)?%"]	(meet [lc="procenta"] [tag="k4.*" | word="[0-9][0-9,\\.]*"] -3 3)
Název měsíce následovaný rokem	preloaded/cstenten23_mj2	[word="Leden|Únor|Březen|Duben|Květen|Červen|Červenec|Srpen|Září|Říjen|Listopad|Prosinec"][word="\d{4}"]	[lemma_lc="(leden|únor|březen|duben|květen|červen|červenec|srpen|září|říjen|listopad|prosinec)" & tag="k1.*"] [tag="kI.*"]? [word="[0-9]{4}"]
Den v týdnu následovaný čárkou	preloaded/cstenten23_mj2	[word="Pondělí|Úterý|Středa|Čtvrtek|Pátek|Sobota|Neděle"][word==","]	[lemma_lc="(pondělí|úterý|středa|čtvrtek|pátek|sobota|neděle)" & tag="k1.*"] [word=","]
Čas ve formátu HH:MM nebo HH.MM.	preloaded/cstenten23_mj2	[word="[012]?[0-9][:\.][0-5][0-9]"]	[word="[0-9]{2}[:\\.][0-9]{2}"]
Věta začínající uvozovkou	preloaded/cstenten23_mj2	<s> [word="\"|„|‚|“|’|'"]	<s/> containing ( <s> [word="[\"„“]"] )
Věta končící vykřičníkem	preloaded/cstenten23_mj2	[word=="!"] </s>	<s> []* [word="!"] </s>
Chci všechny výskyty otevřené závorky	preloaded/cstenten23_mj2	[word=="("]	[word="("]
Výskyty zavírací závorky	preloaded/cstenten23_mj2	[word==")"]	[word=")"]
Obsah v závorkách do 20 tokenů	preloaded/cstenten23_mj2	[word=="("][]{0,20}[word==")"] within <s/>	[word="("] []{1,20} [word=")"]
Úsek v uvozovkách do 12 tokenů	preloaded/cstenten23_mj2	[word="\"|„|‚|“|’|'"][word!="\"|„|‚|“|’|'"]{0,12}[word="\"|„|‚|“|’|'"] within <s/>	( [word="[„“\"]"] [ ]{0,10} [word="[”\"“]"] )
"Pan/Paní" před jménem	preloaded/cstenten23_mj2	[word="Pan|Paní"][tag="k1.*" & word="[[:upper:]].*"]	([lemma="pan" & tag="k1.*c1"] | [lemma="paní" & tag="k1.*c1"]) [tag="k1.*c1" & word="[A-ZÁČĎÉĚÍŇÓŘŠŤÚŮÝŽ].*"]
Zájmeno + být	preloaded/cstenten23_mj2	[tag="k3.*"][lemma="být"]	[tag="k3.*"] [lemma="být"]
Podst. jméno s jedním předcházejícím adj.	preloaded/cstenten23_mj2	[tag="k2.*"][tag="k1.*"]	[tag="k2.*"] [tag="k1.*"]
Podst. jméno se dvěma adjektivy před	preloaded/cstenten23_mj2	[tag="k2.*"]{2}[tag="k1.*"]	[tag="k2.*"]{2} [tag="k1.*"]
Podst. jméno s 0-3 adjektivy před	preloaded/cstenten23_mj2	[tag="k2.*"]{0,3}[tag="k1.*"]	[tag="k2.*"]{0,3} [tag="k1.*"]
Příslovce těsně před adjektivem	preloaded/cstenten23_mj2	[tag="k6.*"][tag="k2.*"]	[tag="k6.*"] [tag="k2.*"]
