Najdi lemmata končící na -nost	preloaded/cstenten23_mj2	[lemma=".*nost"]	[lemma_lc=".*nost$"]
Najdi přesně středník	preloaded/cstenten23_mj2	[word==";"]	[word==";"]
Pětipísmenná malá slova	preloaded/cstenten23_mj2	[word="[[:lower:]]{5}"]	[lc="^[a-záčďéěíňóřšťúůýž]{5}$"]
Slova začínající na pře-	preloaded/cstenten23_mj2	[lc="pře.*"]	[lc="pře.*"]
Slova končící na -ový nebo -ová	preloaded/cstenten23_mj2	[word=".*ov[ýá]"]	[lc=".*(ový|ová)$"]
Lemmata začínající mikro- a končící -skop	preloaded/cstenten23_mj2	[lemma="mikro.*skop"]	[lemma_lc="mikro.*skop"]
Slovo začínající s velkým písmenem uvnitř věty, ne však na začátku	preloaded/cstenten23_mj2	[][word="[[:upper:]].+"] within <s/>	<s> [] [word="[A-ZÁČĎÉĚÍŇÓŘŠŤÚŮÝŽ].*"]
Tokeny s pomlčkou	preloaded/cstenten23_mj2	[word=".*-.*"]	[word="[-–—]"] | [word=".*[-–—].*"]
Tokeny složené jen z číslic	preloaded/cstenten23_mj2	[word="\d+"]	[word="^[0-9]+$"]
Tokeny složené jen z interpunkce s více jak jedním znakem	preloaded/cstenten23_mj2	[word="[[:punct:]]{2,}"]	[tag="kZ.*" & word=".{2,}"]
Vlastní jména	preloaded/cstenten23_mj2	[tag="k1.*" & word="[[:upper:]].*"]	[tag="k1.*" & word="[A-ZÁČĎÉĚÍŇÓŘŠŤÚŮÝŽ].*"]
Zájmena tázací/relativní	preloaded/cstenten23_mj2	[tag="k3.*" & word="kdo|co|který|jenž"]	[tag="k3.*(xI|xR)"]
Příslovce zakončená na -ě	preloaded/cstenten23_mj2	[word=".*ě" & tag="k6.*"]	[tag="k6.*" & lc=".*ě$"]
Přídavná jména v 1. stupni	preloaded/cstenten23_mj2	[tag="k2.*d1.*"]	[tag="k2.*" & (tag=".*d1.*" | (tag!=".*d2.*" & tag!=".*d3.*"))]
Přídavná jména v 2. stupni	preloaded/cstenten23_mj2	[tag="k2.*d2.*"]	[tag="k2.*d2"]
Přídavná jména v 3. stupni	preloaded/cstenten23_mj2	[tag="k2.*d3.*"]	[tag="k2.*d3.*"]
Spojka "a"	preloaded/cstenten23_mj2	[word=="a" & tag="k8.*"]	[lempos_lc="a-c"]
Slova ten, tento, tamhleten	preloaded/cstenten23_mj2	[word="ten|tento|tamhleten"]	[ lemma_lc="ten" | lemma_lc="tento" | lemma_lc="tamhleten" ]
Pluralia v -i	preloaded/cstenten23_mj2	[word=".*i" & tag="k1.*nP.*"]	[k="k1" & n="nP" & lc=".*i$"]
Podstatná jména v 6. pádě	preloaded/cstenten23_mj2	[tag="k1.*c6.*"]	[k="k1" & c="c6"]
Podstatná jména v 7. pádě	preloaded/cstenten23_mj2	[tag="k1.*c7.*"]	[tag="k1.* c7"]
Tokeny s apostrofem	preloaded/cstenten23_mj2	[word=".*'.*"]	[word=".*'.*"]
Měnové symboly Kč/€/$	preloaded/cstenten23_mj2	[word="Kč|€|\$"]	[word=="Kč"] | [lc="kč"] | [word=="€"] | [word=="$"]
Domény končící na .cz	preloaded/cstenten23_mj2	[word=".*\.cz"]	<doc tld="cz"/>
Hex barvy	preloaded/cstenten23_mj2	[word="#([0-9A-Fa-f]{3}|[0-9A-Fa-f]{6})"]	[word="#[0-9A-Fa-f]{3,6}"]
Uživatelská jména začínající @	preloaded/cstenten23_mj2	[word="@\w+"]	[word="@.+"]
Hashtagy	preloaded/cstenten23_mj2	[word="#\w+"]	[word="#.+"]
URL končící .pdf	preloaded/cstenten23_mj2	[word="https?://.+\.pdf"]	<doc url="(?i).*\.pdf$"> [ ]
Symbol © nebo ® jako c nebo r v závorkách	preloaded/cstenten23_mj2	[word=="("][word="[cCrR]"][word==")"]	( [word="©"] | [word="®"] | [lc="\([cr]\)"] | ( [word="("] [lc="[cr]"] [word=")"] ) )
Římské číslice I–X	preloaded/cstenten23_mj2	[word="I|II|III|IV|V|VI|VII|VIII|IX|X"]	[lc="(i|ii|iii|iv|v|vi|vii|viii|ix|x)"]
Čísla s desetinnou tečkou	preloaded/cstenten23_mj2	[word="\d+\.\d+"]	[word="^[-+]?[0-9]*\\.[0-9]+$"]
Procenta s číslem	preloaded/cstenten23_mj2	[word="\d+(\.\d+)?%"]	(meet [lemma="procento" & tag="k1.*"] [tag="k4.*"] -5 5)
Název měsíce následovaný rokem	preloaded/cstenten23_mj2	[word="Leden|Únor|Březen|Duben|Květen|Červen|Červenec|Srpen|Září|Říjen|Listopad|Prosinec"][word="\d{4}"]	[  (    lemma_lc="leden" | lemma_lc="únor" | lemma_lc="březen" |     lemma_lc="duben" | lemma_lc="květen" | lemma_lc="červen" |     lemma_lc="červenec" | lemma_lc="srpen" | lemma_lc="září" |     lemma_lc="říjen" | lemma_lc="listopad" | lemma_lc="prosinec"  )   & tag="k1.*"] [word=","]? [word="[0-9]{4}"]
Den v týdnu následovaný čárkou	preloaded/cstenten23_mj2	[word="Pondělí|Úterý|Středa|Čtvrtek|Pátek|Sobota|Neděle"][word==","]	[lemma="(pondělí|úterý|středa|čtvrtek|pátek|sobota|neděle)"] [word=","]
Čas ve formátu HH:MM nebo HH.MM.	preloaded/cstenten23_mj2	[word="[012]?[0-9][:\.][0-5][0-9]"]	[word="(0[0-9]|1[0-9]|2[0-3])[.:][0-5][0-9]"]
Věta začínající uvozovkou	preloaded/cstenten23_mj2	<s> [word="\"|„|‚|“|’|'"]	<s> [word="[„“\x22]"]
Věta končící vykřičníkem	preloaded/cstenten23_mj2	[word=="!"] </s>	<s> []{0,100} [word="!"] </s>
Otevřená závorka	preloaded/cstenten23_mj2	[word=="("]	[word="[\\[\\()]"]
Zavřená závorka	preloaded/cstenten23_mj2	[word==")"]	[word==")" | word=="]" | word=="}"]
Obsah v závorkách do 20 tokenů	preloaded/cstenten23_mj2	[word=="("][]{0,20}[word==")"] within <s/>	[word="("] []{0,20} [word=")"]
Úsek v uvozovkách do 12 tokenů	preloaded/cstenten23_mj2	[word="\"|„|‚|“|’|'"][word!="\"|„|‚|“|’|'"]{0,12}[word="\"|„|‚|“|’|'"] within <s/>	[word="[„\"]"] [word!="[„“\"”]"]{1,12} [word="[“\"”]"]
"Pan/Paní" před jménem	preloaded/cstenten23_mj2	[word="Pan|Paní"][tag="k1.*" & word="[[:upper:]].*"]	[lemma="pan" | lemma="paní"] [tag="k1.*"]
Zájmeno + být	preloaded/cstenten23_mj2	[tag="k3.*"][lemma="být"]	[tag="k3.*"] [lemma="být"]
Podst. jméno s jedním předcházejícím adj.	preloaded/cstenten23_mj2	[tag="k2.*"][tag="k1.*"]	[tag="k2.*"] [tag="k1.*"]
Podst. jméno se dvěma adjektivy před	preloaded/cstenten23_mj2	[tag="k2.*"]{2}[tag="k1.*"]	[tag="k2.*"]{2} [tag="k1.*"]
Podst. jméno s 0-3 adjektivy před	preloaded/cstenten23_mj2	[tag="k2.*"]{0,3}[tag="k1.*"]	[tag="k2.*"]{0,3} [tag="k1.*"]
